marker,synonym1,synonym2,synonym3,synonym4,synonym5,synonym6,synonym7,synonym8,synonym9
CD133,Prominin-1,PROM1,AC133,Prominin,,,,,
CD134,TNFRSF4,OX40,OX-40,OX.40,,,,,
CD135,FLT.3,FLT-3,FLT3,FLK2,,,,,
CD136,RON,MSP-R,,,,,,,
CD137,4-1BB,41BB,4.1BB,4_1BB,CD137,TNFRSF9,,,
CD138,,,,,,,,,
CD139,,,,,,,,,
CD14,,,,,,,,,
CD140a,PDGFRalpha,PDGFRA,Platelet-derived growth factor receptor alpha,,,,,,
CD140b,PDGFRbeta,PDGFRB,Platelet-derived growth factor receptor beta,,,,,,
CD141,BDCA-3,Thrombomodulin,BDCA3,BDCA_3,BDCA.3,,,,
CD142,Tissue Factor,TF,F3,Coagulation factor III,,,,,
CD143,ACE,,,,,,,,
CD144,VE-Cadherin,CDH5,Vascular endothelial cadherin,,,,,,
CD146,MCAM,CD146 (MCAM),,,,,,,
CD147,EMMPRIN,Basigin,BSG,,,,,,
CD148,RPTP-eta,DEP1,CD148,,,,,,
CD149,,,,,,,,,
CD15,Le X,Lewis X,,,,,,,
CD150,SLAM1,SLAMF1,,,,,,,
CD151,,,,,,,,,
CD152,CTLA-4,CTLA4,Cytotoxic T-lymphocyte antigen 4,,,,,,
CD153,CD30L,,,,,,,,
CD154,CD40L,,,,,,,,
CD155,PVR,Nectin-like 5,CD155 (PVR),Poliovirus receptor,,,,,
CD156a,,,,,,,,,
CD156b,ADAM17,TACE,,,,,,,
CD156C,,,,,,,,,
CD157,BST-1,,,,,,,,
CD158,KIR,Killer cell immunoglobulin-like receptor,,,,,,,
CD158A,KIR2DL1,,,,,,,,
CD158B1,KIR2DL2,,,,,,,,
CD158B2,KIR2DL3,,,,,,,,
CD158C,KIR2DS6,,,,,,,,
CD158D,KIR2DL4,,,,,,,,
CD158E1,KIR3DL1,,,,,,,,
CD158E2,KIR3DS1,,,,,,,,
CD158F,KIR2DL5,,,,,,,,
CD158G,KIR2DS5,,,,,,,,
CD158H,KIR2DS1,,,,,,,,
CD158I,KIR2DS4,,,,,,,,
CD158J,KIR2DS2,,,,,,,,
CD158K,KIR3DL2,,,,,,,,
CD159a,NKG2A,NKG2-A,KLRC1,,,,,,
CD159c,NKG2C,NKG2-C,KLRC2,,,,,,
CD16,FcgRIII,CD16 (FcgRIII),,,,,,,
CD16/32,CD16-32,CD16.32,CD16_32,FcgRII/III,,,,,
CD160,BY55,NK1,,,,,,,
CD161,,,,,,,,,
CD163,,,,,,,,,
CD166,ALCAM,Activated leukocyte cell adhesion molecule,,,,,,,
CD169,,,,,,,,,
CD16a,FcgRIIIa,FCGR3A,,,,,,,
CD16b,FcgRIIIb,FCGR3B,,,,,,,
CD17,Lactosylceramide,LacCer,,,,,,,
CD170,Siglec-5,Siglec5,,,,,,,
CD172a,SIRP1alpha,SIRP1a,,,,,,,
CD172b,SIRPbeta,SIRP-beta,,,,,,,
CD175,Tn antigen,,,,,,,,
CD175s,Sialyl-Tn,,,,,,,,
CD176,Thomsen-Friedenreich antigen,TF antigen,,,,,,,
CD177,NB1,PRV-1,NB-1,,,,,,
CD178,FasL,Fas Ligand,FasLigand,,,,,,
CD179a,VpreB,,,,,,,,
CD179b,Lambda5,IGLL1,,,,,,,
CD18,Integrin beta-2,ITGB2,,,,,,,
CD180,RP105,MD-1,,,,,,,
CD19,,,,,,,,,
CD1a,,,,,,,,,
CD1b,,,,,,,,,
CD1c,,,,,,,,,
CD1d,,,,,,,,,
CD1e,,,,,,,,,
CD2,,,,,,,,,
CD20,,,,,,,,,
CD200,OX2,MRC OX-2,,,,,,,
CD200R,Cd200r1,CD200R-1,MO2R1,CD200 receptor 1,Orexin receptor 2,Ox2r,Mox2r,,
CD201,EPCR,Endothelial protein C receptor,,,,,,,
CD202b,TEK,TIE2,Angiopoietin receptor,,,,,,
CD203c,ENPP3,,,,,,,,
CD204,MSR1,Macrophage scavenger receptor 1,,,,,,,
CD205,DEC.205,DEC-205,DEC205,DEC 205,,,,,
CD206,Mannose Receptor,MMR,,,,,,,
CD207,Langerin,CD207 (Langerin),,,,,,,
CD208,DC-LAMP,LAMP3 DC,,,,,,,
CD209,DC-SIGN,CLEC4L,Dendritic cell-specific ICAM-3 grabbing nonintegrin,,,,,,
CD21,CD21-35,CD21_35,CD21.35,CD21/35,,,,,
CD210,IL-10R,IL10RA,CD210a,,,,,,
CD210b,IL10RB,,,,,,,,
CD212,IL-12Rbeta1,IL12RB1,,,,,,,
CD213a1,IL-13Ra1,IL13RA1,,,,,,,
CD213a2,IL13RA2,,,,,,,,
CD214,IL-4R,IL4R,,,,,,,
CD215,IL-15Ra,IL15RA,,,,,,,
CD217,IL-17R,IL17RA,,,,,,,
CD218a,IL-18Ra,IL18R1,,,,,,,
CD218b,IL18RAP,,,,,,,,
CD22,Siglec-2,,,,,,,,
CD220,INSR,Insulin receptor,,,,,,,
CD221,IGF1R,Insulin-like growth factor 1 receptor,,,,,,,
CD222,M6PR,IGF2R,Cation-independent mannose-6-phosphate receptor,,,,,,
CD223,LAG-3,,,,,,,,
CD224,GGT1,Gamma-glutamyltranspeptidase 1,,,,,,,
CD225,Leu13,,,,,,,,
CD226,DNAM1,,,,,,,,
CD227,MUC1,Mucin-1,PEM,,,,,,
CD228,Melanotransferrin,MFI2,,,,,,,
CD229,Ly9,SH2D3A,,,,,,,
CD23,FceRII,FceR2,,,,,,,
CD230,PrP,Prion protein,,,,,,,
CD231,TALLA-1,A15,TM4SF2,,,,,,
CD232,VESPR,PLXNC1,,,,,,,
CD233,Band 3,SLC4A1,Anion exchanger 1,,,,,,
CD234,DARC,ACKR1,Duffy antigen,,,,,,
CD235a,GPA,Glycophorin A,,,,,,,
CD235ab,Glycophorin A/B,GPA/GPB,,,,,,,
CD235b,GPB,Glycophorin B,,,,,,,
CD236,Glycophorin C,GPC,GYPC,,,,,,
CD238,Kell,Kell antigen,,,,,,,
CD239,B-CAM,LU,Lutheran antigen,,,,,,
CD24,CD24,,,,,,,,
CD240CE,RhCE antigen,,,,,,,,
CD240D,Rh D antigen,,,,,,,,
CD241,RhCE,,,,,,,,
CD242,ICAM-4,,,,,,,,
CD243,MDR1,ABCB1,P-glycoprotein,,,,,,
CD244,SLAMF4,2B4,,,,,,,
CD245,,,,,,,,,
CD246,ALK,,,,,,,,
CD247,CD3zeta,TCR zeta,,,,,,,
CD248,Endosialin,TEM1,,,,,,,
CD249,Aminopeptidase A,,,,,,,,
CD25,IL2Ralpha,CD25 (IL2Ralpha),,,,,,,
CD252,OX40L,TNFSF4,OX-40L,OX40 ligand,OX40L (CD252),,,,
CD253,TRAIL,TNFSF10,Apo2L,TRAIL (CD253),,,,,
CD254,RANKL,TNFSF11,Receptor activator of NF-kB ligand,,,,,,
CD255,TWEAK,TNFSF12,TWEAK (CD255),,,,,,
CD256,APRIL,TNFSF13,,,,,,,
CD257,BAFF,TNFSF13B,BLyS,,,,,,
CD258,LIGHT,TNFSF14,,,,,,,
CD26,DPP4,Dipeptidyl peptidase-4,DPP-4,,,,,,
CD261,TRAIL-R1,DR4,TNFRSF10A,,,,,,
CD262,TRAIL-R2,DR5,TNFRSF10B,,,,,,
CD263,DcR1,TNFRSF10C,,,,,,,
CD264,TRAIL-R4,DcR2,TNFRSF10D,,,,,,
CD265,RANK,TNFRSF11A,,,,,,,
CD266,TWEAK-R,FN14,TNFRSF12A,,,,,,
CD267,TACI,TNFRSF13B,,,,,,,
CD269,BCMA,TNFRSF17,B-cell maturation antigen,,,,,,
CD27,,,,,,,,,
CD270,HVEM,TNFRSF14,Herpes virus entry mediator,,,,,,
CD271,LNGFR,NGF receptor,p75NTR,,,,,,
CD272,BTLA,CD272 (BTLA),,,,,,,
CD275,ICOSL,B7-H2,,,,,,,
CD276,B7-H3,,,,,,,,
CD277,BTN3A1,,,,,,,,
CD28,,,,,,,,,
CD280,ENDO180,CLEC13E,MRC2,,,,,,
CD281,TLR1,Toll-like receptor 1,,,,,,,
CD282,TLR2,Toll-like receptor 2,,,,,,,
CD283,TLR3,Toll-like receptor 3,,,,,,,
CD284,TLR4,Toll-like receptor 4,,,,,,,
CD286,TLR6,Toll-like receptor 6,,,,,,,
CD288,TLR8,Toll-like receptor 8,,,,,,,
CD289,TLR9,Toll-like receptor 9,,,,,,,
CD29,Integrin-beta1,Integrin-b1,Itgb1,beta1 integrin,,,,,
CD290,TLR10,Toll-like receptor 10,,,,,,,
CD292,BMPR1A,,,,,,,,
CD293,BMPR1B,,,,,,,,
CD294,CRTH2,PTGDR2,Prostaglandin D2 receptor 2,,,,,,
CD295,LEPR,,,,,,,,
CD296,ART1,ART-1,,,,,,,
CD297,ART4,,,,,,,,
CD298,ATP1B3,Na+/K+-ATPase beta3 subunit,,,,,,,
CD299,DC-SIGNR,CLEC4M,,,,,,,
CD3,CD3e,,,,,,,,
CD30,TNFRSF8,CD30 (TNFRSF8),,,,,,,
CD300a,IRp60,CMRF35-H9,LMIR1,,,,,,
CD300c,CMRF35,CMRF35-A,LMIR3,,,,,,
CD301,CLEC10A,,,,,,,,
CD302,CL-P1,COLEC12,Collectin placenta 1,,,,,,
CD303,BDCA2,BDCA-2,,,,,,,
CD305,LAIR-1,LAIR1,,,,,,,
CD306,LAIR-2,LAIR2,,,,,,,
CD307,FcRL5,FCRH5,FcRH5,CD307e,,,,,
CD307a,FCRL1,,,,,,,,
CD307b,FCRL2,,,,,,,,
CD307c,FCRL3,,,,,,,,
CD307d,FCRL4,,,,,,,,
CD309,KDR,VEGFR2,Vascular endothelial growth factor receptor 2,,,,,,
CD31,PECAM_1,PECAM.1,FcgRIIa,PECAM-1,PECAM1,PECAM,,,
CD312,EMR2,ADGRE2,,,,,,,
CD314,NKG2D,KLRK1,,,,,,,
CD315,CD9P-1,PTGFRN,,,,,,,
CD316,EWI-2,IGSF8,,,,,,,
CD317,BST-2,Tetherin,HM1.24,,,,,,
CD318,CDCP1,,,,,,,,
CD319,SLAMF7,CS1,CRACC,Elotuzumab target,,,,,
CD32,FcgRII,FcgRIIb,CD32b,FcgRII-b,,,,,
CD320,8D6A,,,,,,,,
CD321,JAM-A,JAM1,F11R,Junctional adhesion molecule A,,,,,
CD322,JAM-2,JAM2,Junctional adhesion molecule 2,,,,,,
CD324,E-Cadherin,E-cad,Cadherin-1,Epithelial cadherin,CDH1,,,,
CD325,N-Cadherin,N-cad,Cadherin-2,CDH2,,,,,
CD327,Siglec-6,,,,,,,,
CD328,Siglec-7,Siglec7,p75,p75/AIRM1,,,,,
CD329,Siglec-9,Siglec9,,,,,,,
CD33,Siglec-3,Siglec3,,,,,,,
CD331,FGFR1,Fibroblast growth factor receptor 1,,,,,,,
CD332,FGFR2,Fibroblast growth factor receptor 2,,,,,,,
CD333,FGFR3,Fibroblast growth factor receptor 3,,,,,,,
CD334,FGFR4,Fibroblast growth factor receptor 4,,,,,,,
CD335,NKp46,NCR1,Natural cytotoxicity triggering receptor 1,,,,,,
CD336,NKp44,NCR2,Natural cytotoxicity triggering receptor 2,,,,,,
CD337,NKp30,NCR3,Natural cytotoxicity triggering receptor 3,,,,,,
CD338,ABCG2,BCRP,Breast cancer resistance protein,,,,,,
CD339,Jagged-1,JAG1,,,,,,,
CD34,,,,,,,,,
CD340,HER2,ErbB2,ErbB-2,ERBB2,Receptor tyrosine-protein kinase erbB-2,,,,
CD344,,,,,,,,,
CD349,Frizzled-9,FZD9,,,,,,,
CD35,CR1,Complement receptor 1,,,,,,,
CD350,Frizzled-4,FZD4,,,,,,,
CD351,FcauR,FCAMR,,,,,,,
CD352,SLAMF6,NTB-A,,,,,,,
CD353,SLAMF8,,,,,,,,
CD354,TREM1,,,,,,,,
CD355,CRTAM,,,,,,,,
CD357,GITR,TNFRSF18,,,,,,,
CD358,DR6,TNFRSF21,,,,,,,
CD36,SR-B2,SCARB2,Fatty acid translocase,,,,,,
CD360,IL21R,,,,,,,,
CD361,EVI2B,,,,,,,,
CD362,Syndecan-2,SDC2,,,,,,,
CD363,S1PR1,,,,,,,,
CD364,CRISP9,Peptidase Inhibitor 16,PI-16,,,,,,
CD365,Galectin-9,LGALS9,,,,,,,
CD366,TIM-3,HAVCR2,TIM-3,TIM.3,Tim3,,,,
CD367,CLEC4A,DCIR,,,,,,,
CD368,CLEC4D,,,,,,,,
CD369,CLEC7A,Dectin-1,,,,,,,
CD37,GP52-40,TSPAN26,,,,,,,
CD370,CLEC9A,,,,,,,,
CD371,CLEC12A,,,,,,,,
CD38,,,,,,,,,
CD39,ENTPD1,NTPDase-1,,,,,,,
CD3d,,,,,,,,,
CD3g,,,,,,,,,
CD4,L3T4,,,,,,,,
CD40,,,,,,,,,
CD41,GPIIb,Integrin alpha-IIb,Itga2b,,,,,,
CD42a,GPIX,,,,,,,,
CD42b,GPIb,Glycoprotein Ib,GPIbalpha,,,,,,
CD42c,GPIbbeta,,,,,,,,
CD42d,GPV,,,,,,,,
CD43,Sialophorin,Spn,,,,,,,
CD44,,,,,,,,,
CD45,,,,,,,,,
CD45.1,CD45_1,,,,,,,,
CD45.2,CD45_2,,,,,,,,
CD45RA,,,,,,,,,
CD45RB,,,,,,,,,
CD45RC,,,,,,,,,
CD45RO,,,,,,,,,
CD46,MCP,Membrane Cofactor Protein,,,,,,,
CD47,IAP,integrin-associated protein,,,,,,,
CD48,,,,,,,,,
CD49a,ITGA1,,,,,,,,
CD49b,Integrin alpha-2,Itga2,Integrin a2,Integrin alpha-2,,,,,
CD49c,Integrin alpha-3,ITGA3,,,,,,,
CD49d,Integrin alpha-4,ITGA4,VLA-4,,,,,,
CD49e,Integrin alpha-5,ITGA5,,,,,,,
CD49f,Integrin alpha-6,ITGA6,,,,,,,
CD5,,,,,,,,,
CD50,ICAM-3,ICAM3,,,,,,,
CD51,Integrin alpha-V,Itgav,Vitronectin receptor,,,,,,
CD52,CAMPATH-1,,,,,,,,
CD53,,,,,,,,,
CD54,ICAM-1,ICAM1,Intercellular adhesion molecule 1,,,,,,
CD55,DAF,Decay accelerating factor,,,,,,,
CD56,NCAM,,,,,,,,
CD57,L2,HNK-1,LEU-7,,,,,,
CD58,LFA-3,LFA3,,,,,,,
CD59,Protectin,MIRL,,,,,,,
CD6,,,,,,,,,
CD60a,,,,,,,,,
CD60b,,,,,,,,,
CD60c,,,,,,,,,
CD61,Integrin beta-3,Itgb3,Beta3 integrin,GPIIIa,,,,,
CD62E,E-Selectin,ELAM-1,,,,,,,
CD62L,L-Selectin,L-selectin,L Selectin,,,,,,
CD62P,P-Selectin,GMP-140,,,,,,,
CD63,LAMP-3,LAMP3,,,,,,,
CD64,FcgRI,CD64 (FcgRI),CD64a,,,,,,
CD65,,,,,,,,,
CD65s,,,,,,,,,
CD66a,CEACAM1,BGP,,,,,,,
CD66b,CEACAM8,CD66-b,,,,,,,
CD66c,CEACAM6,CD66-c,,,,,,,
CD66d,CEACAM3,,,,,,,,
CD66e,CEACAM5,CEA,,,,,,,
CD66f,PSG1,,,,,,,,
CD67,,,,,,,,,
CD68,,,,,,,,,
CD69,,,,,,,,,
CD7,CD7,,,,,,,,
CD70,CD27L,CD27 Ligand,,,,,,,
CD71,TfR1,TfR,Tranferrin receptor,Transferrin receptor 1,,,,,
CD72,,,,,,,,,
CD73,NT5E,,,,,,,,
CD74,CLIP,Invariant chain,,,,,,,
CD75,,,,,,,,,
CD75s,,,,,,,,,
CD76,DBA.44,,,,,,,,
CD77,Gb3,,,,,,,,
CD79a,Igalpha,Iga,Ig-alpha,mb-1,B29,,,,
CD79b,Igbeta,Igb,Ig-beta,B29,,,,,
CD8,CD8alpha,CD8a,Cd8,Cd8a,,,,,
CD80,B7.1,B7_1,B7-1,,,,,,
CD81,TAPA-1,,,,,,,,
CD82,KAI1,,,,,,,,
CD83,,,,,,,,,
CD84,SLAMF5,,,,,,,,
CD85A,LILRB3,ILT5,,,,,,,
CD85B,ILT8,,,,,,,,
CD85C,LILRB5,,,,,,,,
CD85D,LILRB2,ILT4,,,,,,,
CD85F,LILRA5,ILT11,,,,,,,
CD85G,LILRA4,ILT7,,,,,,,
CD85H,LILRA2,ILT1,,,,,,,
CD85I,LILRA1,,,,,,,,
CD85j,ILT2,LILRB1,LIR-1,LIR1,MIR-7,,,,
CD85K,LILRB4,ILT3,,,,,,,
CD85M,ILT10,,,,,,,,
CD86,B7.2,B7_2,B7-2,,,,,,
CD87,uPAR,PLAUR,,,,,,,
CD88,C5aR,C5a receptor,,,,,,,
CD89,FcaRI,IgA receptor,,,,,,,
CD8b,CD8 beta,CD8-beta,CD8beta,Cd8b,,,,,
CD9,,,,,,,,,
CD90,Thy1,CD90 (Thy1),,,,,,,
CD90.1,Thy1.1,,,,,,,,
CD90.2,Thy1.2,,,,,,,,
CD91,LRP1,,,,,,,,
CD92,CTL1,SLC44A1,,,,,,,
CD93,C1qRp,AA4.1,,,,,,,
CD94,KLRD1,CD94 (KLRD1),,,,,,,
CD95,Fas,CD95 (Fas),,,,,,,
CD96,TACTILE,Tactile,,,,,,,
CD97,,,,,,,,,
CD98,CD98,4F2hc,SLC3A2,,,,,,
CD99,MIC2,,,,,,,,
CDK1,Cyclin-dependent kinase 1,CDC2,Cdc2,,,,,,
CDK2,Cyclin-dependent kinase 2,Cdk2,,,,,,,
CDK4,Cyclin-dependent kinase 4,Cdk4,,,,,,,
CDK6,Cyclin-dependent kinase 6,Cdk6,,,,,,,
CDw145,,,,,,,,,
CLEC4F,,,,,,,,,
CLEC12A,Clec12a,CLEC12A (Clec12a),,,,,,,
CNTF,Ciliary neurotrophic factor,,,,,,,,
Collagen I,ColI,COL1A1,Type I collagen,,,,,,
Collagen IV,ColIV,COL4A1,Type IV collagen,,,,,,
CREB,cAMP response element-binding protein,CREB1,,,,,,,
CSF1R,CD115,c-FMS,FMS,M-CSFR,,,,,
CTLA-4,CD152,CTLA4,CTLA.4,CTLA_4,,,,,
CX3CL1,Fractalkine,,,,,,,,
CX3CR1,Fractalkine Receptor,CX3CR1 (Fractalkine Receptor),,,,,,,
CXCL1,GRO-alpha,,,,,,,,
CXCL10,IP-10,Interferon gamma-induced protein 10,,,,,,,
CXCL11,I-TAC,,,,,,,,
CXCL12,SDF-1,,,,,,,,
CXCL13,BCA-1,B lymphocyte chemoattractant,,,,,,,
CXCL14,,,,,,,,,
CXCL2,GRO-beta,,,,,,,,
CXCL3,GRO-gamma,,,,,,,,
CXCL4,PF4,,,,,,,,
CXCL5,ENA-78,,,,,,,,
CXCL6,GCP-2,,,,,,,,
CXCL7,NAP-2,,,,,,,,
CXCL9,MIG,Monokine induced by gamma interferon,,,,,,,
CXCR1,CD181,CXCR1 (CD181),CD128a,,,,,,
CXCR2,CD182,CXCR2 (CD182),CD128b,,,,,,
CXCR3,CD183,CXCR3 (CD183),,,,,,,
CXCR4,CD184,CXCR4 (CD184),,,,,,,
CXCR5,CD185,CXCR5 (CD185),,,,,,,
CXCR6,CD186,CXCR6 (CD186),,,,,,,
CXCR7,ACKR3,CXCR7 (ACKR3),,CD189,RDC1,,,,
CXCR8,CD188,CXCR8 (CD188),,,,,,,
Cyclin B1,CCNB1,CyclinB1,,,,,,,
Cyclin D1,CCND1,CyclinD1,BCL1,,,,,,
Cyclin D3,CCND3,CyclinD3,,,,,,,
Cyclin E,CCNE1,CyclinE,,,,,,,
Cytokeratin8,Cytokeratin-8,Keratin8,Cytokeratin8,Keratin-8,,,,,
DCIR2,,,,,,,,,
Delta-1,DLL1,Delta like ligand 1,Dll-1,,,,,,
Delta-4,DLL4,Delta like ligand 4,Dll-4,,,,,,
Desmin,DES,,,,,,,,
E-Cadherin,CD324,Cadherin-1,Cadherin1,Cadherin.1,CDH1,,,,
E47,TCF3,E-protein,E2A,TCF-3,,,,,
EGFR,ErbB1,HER1,CD170,Epidermal growth factor receptor,ERBB1,,,,
Eomes,,,,,,,,,
EOS,,,,,,,,,
EpCAM,CD326,EpCAM (CD326),,,,,,,
EphA2,EPH receptor A2,Eph-A2,,,,,,,
EphB4,EPH receptor B4,Eph-B4,,,,,,,
Ephrin-A1,EFNA1,Ephrin A1,,,,,,,
Ephrin-B2,EFNB2,Ephrin B2,,,,,,,
EPO,Erythropoietin,EPOR,Epo,,,,,,
F4/80,F4-80,F4_80,F480,,,,,,
FasL,CD178,FasL (CD178),,,,,,,
FceRIa,FcER1,FceR1a,FceRIalpha,FceR1,FceRI,FceR1alpha,FcER1alpha,FcER1a,
FcRL5,Fcrl5,,,,,,,,
Fibronectin,FN1,Fn1,,,,,,,
Flag,FLAG,DYKDDDDK,,,,,,,
FLT3,CD135,FLK2,STK1,Flt-3,,,,,
Follistatin,FST,Fst,,,,,,,
FOLR2,FolR2,Folr2,,,,,,,
FOXO1,FOXO1A,Forkhead box O1,,,,,,,
FOXO3,FOXO3A,Forkhead box O3,,,,,,,
FoxP3,Fox-P3,Foxp3,Foxp-3,,,,,,
FR2,Folate Receptor 2,Fr2,,,,,,,
G-CSF,CSF3,Granulocyte colony-stimulating factor,GCSF,,,,,,
Galectin-3,Gal-3,Gal3,LGALS3,,,,,,
Galectin-9,Gal-9,Gal9,LGALS9,,,,,,
GARP,LRRC32,Garp,,,,,,,
GATA-3,GATA-3,Gata3,GATA 3,,,,,,
GFAP,GFAP,Gfap,,,,,,,
GFP,Green Fluorescent Protein,Gfp,eGFP,,,,,,
GITR,GITR,Gitr,,,,,,,
GL7,GL7,,,,,,,,
